codigo,classificacao,natureza,centro_de_custo,historico,valor,data_competencia,data_baixa,situacao,tipo,unidade,codigo_classificacao,codigo_natureza
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 1,36468.26,2022-01-01,2022-01-10,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 2,36468.26,2022-02-01,2022-02-14,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 3,36468.26,2022-03-01,2022-03-09,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 4,36468.26,2022-04-01,2022-04-18,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 5,36468.26,2022-05-01,2022-05-11,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 6,36468.26,2022-06-01,2022-06-13,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 7,36468.26,2022-07-01,2022-07-12,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 8,36468.26,2022-08-01,2022-08-12,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 9,36468.26,2022-09-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 10,36468.26,2022-10-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 11,36468.26,2022-11-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 12,36468.26,2022-12-01,,Aberto,Pagar,SUDESTE,08,8.2
2.03.02.004, INVESTIMENTOS, DESENVOLVIMENTO EMPRESARIAL,CERTIFICAÇÃO ISO,HISTÓRICO 13,78881.0,2022-01-01,2022-01-10,Baixado,Pagar,ADM. CENTRAL,08,8.3
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 14,49461.83,2022-01-01,2022-01-11,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 15,49461.83,2022-02-01,2022-02-07,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 16,49461.83,2022-03-01,2022-03-09,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 17,49461.83,2022-04-01,2022-04-08,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 18,49461.83,2022-05-01,2022-05-10,Baixado,Pagar,SUDESTE,08,8.2
2.03.03.002, INVESTIMENTOS, BENS MATERIAIS,COMPRA EMPILHADEIRA,HISTÓRICO 19,49461.83,2022-06-01,2022-06-10,Baixado,Pagar,SUDESTE,08,8.2
